sentence,label
You guys provide EMI option?,0
Do you offer Zero Percent EMI payment options?,0
0% EMI.,0
EMI,0
I want in installment,0
I want it on 0% interest,0
How to get in EMI,0
what about emi options,0
I need emi payment. ,0
How to EMI,0
I want to buy on EMI,0
I want to buy this in installments,0
0% Emi,0
Down payments,0
Installments,0
How about Paisa finance,0
Paisa finance service available,0
What is minimum down payment,0
Paisa Finance is available,0
Do you accept Paisa EMI card,0
Can we buy through Paisa finance,0
EMI Option,0
Paisa Finance,0
No cost EMI is available?,0
Is EMI available,0
COD option is availble?,1
Do you offer COD to my pincode?,1
Can I do COD?,1
COD,1
Is it possible to COD,1
Cash on delivery is acceptable?,1
Can pay later on delivery ,1
DO you have COD option,1
Can it deliver by COD,1
Is COD option available,1
Can I get COD option?,1
Cash on delivery is available,1
Features of Ortho mattress,2
What are the key features of the SOF Ortho mattress,2
SOF ortho,2
Ortho mattress,2
Ortho features,2
ortho,2
Tell me about SOF Ortho mattress,2
Have a back problem,2
I have back pain issue,2
Back Pain,2
Is it orthopaedic,2
Neck pain and back pain,2
back ache issue,2
I m looking mattress for slip disc problem,2
Do we have anything for backache,2
I am cervical and Lombard section problem,2
Is there orthopedic mattress available,2
What are the key features of the SOF Ergo mattress,3
Features of Ergo mattress,3
SOF ergo,3
Ergo mattress,3
Ergo features,3
Ergo,3
Tell me about SOF Ergo mattress,3
What about ergo,3
What is responsive foam,3
SOF ergo features,3
Does this have ergonomic support?,3
What is the difference between the Ergo & Ortho variants,4
Difference between Ergo & Ortho Mattress,4
Difference between the products,4
Compare the 2 mattresses,4
Product comparison,4
 Comparison,4
Which mattress to buy?,4
Is the mattress good for my back,4
Mattress comparison,4
Compare ergo & ortho variants,4
I wanna know the difference,4
What is the warranty period?,5
Warranty,5
Does mattress cover is included in warranty,5
How long is the warranty you offer on your mattresses and what does it cover,5
Do you offer warranty ,5
Tell me about the product warranty,5
Share warranty information,5
Need to know the warranty details,5
Want to know about warranty,5
would interested in warranty details,5
How does the 100 night trial work,6
What is the 100-night offer,6
Trial details,6
How to enroll for trial,6
100 night trial,6
Is the 100 night return trial applicable for custom size as well,6
100 night,6
Trial offer on customisation,6
do you provide exchange,6
Can I try a mattress first,6
I want to check offers,6
What is 100 Night trial offer,6
Need 100 days trial,6
100 days trial,6
Can I get free trial,6
100 Nights trial version,6
 Can you give me 100 night trial ,6
100 free Nights,6
I want to change the size of the mattress.,7
Need some help in changing size of the mattress,7
How can I order a custom sized mattress,7
Custom size,7
Customise size ,7
Customisation is possible?,7
Will I get an option to Customise the size,7
Can mattress size be customised?,7
Mattress size change,7
Can you help with the size?,8
How do I know what size to order?,8
How do I know the size of my bed?,8
Inches,8
Length,8
Feet,8
6*3,8
Help me with the size chart,8
What are the available sizes?,8
Can I please have the size chart?,8
Share the size structure,8
What are the sizes available?,8
Want to know the custom size chart,8
Mattress size,8
 What size to order?,8
Show me all available sizes,8
What are the sizes,8
What are the available mattress sizes,8
King Size,8
Inches,8
Get in Touch,9
Want to talk to an live agent,9
 Please call me,9
Do you have Live agent,9
Want to get in touch,9
 Schedule a callback ,9
 Arrange a call back ,9
How to get in touch?,9
Interested in buying,9
I want to buy this,9
How to buy?,9
How to order,9
I want to order,9
Connect to an agent,9
Get In Touch,9
I want a call back,9
I need a call back,9
Please call me back,9
Call me now,9
I want to buy,9
Need a call from your representative,9
Do you deliver to my pincode,10
Check pincode,10
Is delivery possible on this pincode,10
Will you be able to deliver here,10
Can you make delivery on this pin code?,10
Can you deliver on my pincode,10
Do you deliver to,10
Can you please deliver on my pincode,10
Need a delivery on this pincode,10
Can I get delivery on this pincode,10
Do you have any showrooms in Delhi state,11
Do you have any distributors in Mumbai city,11
Do you have any retailers in Pune city,11
 Where can I see the product before I buy,11
What is the price for size (x ft x y ft)? What is the price for size (x inches x y inches)?,11
Distributors ,11
Distributors/Retailers/Showrooms,11
Where is your showroom,11
Do you have a showroom,11
Can I visit SOF mattress showroom,11
Where is your showroom,11
Nearby Show room,11
Do you have Showroom,11
Need store,11
Need Nearby Store,11
Nearest shop,11
Demo store,11
Is there any offline stores ,11
Head office,11
Shops nearby,11
Where was this shop,11
Offline stores,11
Do you have store,11
Where is the shop ,11
Is it available in shops,11
You have any branch,11
Store in,11
We want dealer ship,11
Any shop that I can visit,11
Dealership,11
Shop near by,11
Need dealership,11
Outlet,11
Store near me,11
Price of mattress,12
Mattress cost,12
Cost of mattress,12
How much does a SOF mattress cost,12
Cost,12
Custom size cost,12
What does the mattress cost,12
I need price,12
Price Range,12
Mattress price,12
Price of Mattress,12
Want to know the price,12
How Much Cost,12
Price,12
Rate,12
MRP,12
Low price,12
What will be the price,12
Cost of Bed,12
Cost of Mattress,12
Mattress cost,12
What is the cost,12
What are the product variants,13
Product Variants,13
Help me with different products,13
What are the mattress variants,13
I want to check products,13
What are the SOF mattress products,13
Show me products,13
Which product is best,13
 Which mattress is best,13
I want to buy a mattress,13
Products,13
View products,13
Type of foam used,13
Mattress variants,13
Mattress Features,13
I am looking the mattress,13
Type of mattress,13
Show more mattress,13
What are the mattress features,13
What are your products,13
Tell me about SOF mattress features,13
How is SOF different from other mattress brands,14
Why SOF mattress,14
About SOF Mattress,14
What is SOF mattress,14
Tell me about SOF mattresses,14
Who are SOF mattress,14
What is SOF,14
How is SOF mattress different from,14
Tell me about SOF Mattress,14
Tell me about company,14
 Who is SOF mattress,14
It's been a month,15
Why so long?,15
I did not receive my order yet,15
Why so many days,15
It's delayed,15
Almost 1 month over,15
 It's been 30 days my product haven't received,15
It's been so many days,15
It's already one month,15
Delivery is delayed,15
It's too late to get delivered,15
Order Status,16
What is my order status?,16
Order related,16
Status of my order,16
What about my order,16
My order Number,16
Where is my order,16
Order #,16
Track order,16
I want updates of my order,16
 I need my order status,16
Status of my order,16
State of this order,16
Order status,16
Present status,16
What is the status?,16
Current state of my order,16
What is the order status?,16
Where is my product,16
When will the order be delivered to me?,16
When can we expect,16
Need my money back,17
I want refund,17
Refund,17
Not happy with the product please help me to return,17
Help me with exchange process,17
How do I return it,17
I want to return my mattress,17
Exchange,17
Looking to exchange,17
How can I replace the mattress.,17
How do I return It,17
Return,17
Return my product,17
Replacement policy,17
I want to cancel my order,18
How can I cancel my order,18
Cancel order,18
Cancellation status,18
I want cancel my order,18
Cancel the order,18
Cancel my order,18
Need to cancel my order,18
Process of cancelling order,18
Can I cancel my order here,18
Can I get pillows?,19
Do you sell pillows?,19
Pillows,19
I want to buy pillows,19
Are Pillows available,19
Need pair of Pillows,19
Can I buy pillows from here,19
Do you have cushions,19
Can I also have pillows,19
Is pillows available,19
Offers,20
What are the available offers,20
Give me some discount,20
Any discounts,20
Discount,20
May I please know about the offers,20
Available offers,20
Is offer available,20
Want to know the discount ,20
Tell me about the latest offers,20
